-84.0794,38.964,"Bethel Post Office"
-83.9863,39.2934,"Blanchester Post Office"
-83.8269,39.4453,"Wilmington Post Office"
-81.4782,40.5206,"Dover Post Office"
-81.334,40.394,"Dennison Post Office"
-81.3436,40.3917,"Uhrichsville Post Office"
-81.4456,40.4914,"New Philadelphia Post Office"
-81.4369,40.3589,"Gnadenhutten Post Office"
-81.6072,40.2744,"Newcomerstown Post Office"
-81.5868,40.0245,"Cambridge Post Office"
-81.7664,40.8411,"Orrville Post Office"
-81.9386,40.7967,"Wooster Post Office"
-82.0068,39.9387,"Zanesville Post Office"
-82.9941,38.7354,"Portsmouth Post Office"
-82.5338,39.1237,"Wellston Post Office"
-83.1269,40.587,"Marion Post Office"
-82.8191,41.6509,"Put-in-Bay Post Office"
-83.3583,41.5189,"Genoa Post Office"
-83.3633,41.5637,"Clay Center Post Office"
-83.2127,41.532,"Rockyridge Post Office"
-83.1471,41.5087,"Oak Harbor Post Office"
-82.8127,41.6814,"Middle Bass Post Office"
-82.9421,41.5117,"Port Clinton Post Office"
-82.741,41.5395,"Lakeside-Marblehead Post Office"
-83.2955,41.4751,"Elmore Post Office"
-83.8927,40.8928,"Bluffton Post Office"
-84.34,40.8437,"Delphos Post Office"
-84.3541,40.7067,"Spencerville Post Office"
-84.1088,40.7417,"Lima Post Office"
-82.5177,40.7606,"Mansfield Post Office"
-82.7127,41.4539,"Sandusky Post Office"
-82.556,41.3925,"Huron Post Office"
-82.3632,41.4214,"Vermilion Post Office"
-82.9813,39.3309,"Chillicothe Post Office"
-82.9457,39.5998,"Circleville Post Office"
-82.8385,41.2742,"Bellevue Post Office"
-82.6157,41.2431,"Norwalk Post Office"
-82.726,41.0559,"Willard Post Office"
-80.7451,40.0159,"Bellaire Post Office"
-80.7409,40.0695,"Bridgeport Post Office"
-80.7234,40.0976,"Martins Ferry Post Office"
-81.8599,40.2731,"Coshocton Post Office"
-83.6285,41.5598,"Perrysburg Post Office"
-83.4938,41.5917,"Walbridge Post Office"
-83.4247,41.5662,"Millbury Post Office"
-83.6508,41.3769,"Bowling Green Post Office"
-83.6774,41.1826,"North Baltimore Post Office"
-82.4085,39.5409,"Logan Post Office"
-82.3774,38.437,"Proctorville Post Office"
-82.6829,38.5365,"Ironton Post Office"
-81.5825,39.2736,"Belpre Post Office"
-81.4561,39.4139,"Marietta Post Office"
-80.8159,41.2378,"Warren Post Office"
-80.7026,41.1548,"Girard Post Office"
-80.5673,41.1564,"Hubbard Post Office"
-83.0682,40.297,"Delaware Post Office"
-84.0208,39.8217,"Fairborn Post Office"
-83.926,39.6851,"Xenia Post Office"
-81.1157,39.7637,"Woodsfield Post Office"
-80.6015,40.4642,"Toronto Post Office"
-80.6292,40.2648,"Brilliant Post Office"
-80.614,40.362,"Steubenville Post Office"
-80.607,40.3201,"Mingo Junction Post Office"
-80.6987,40.1676,"Tiltonsville Post Office"
-80.6917,40.1823,"Rayland Post Office"
-82.3185,40.8689,"Ashland Post Office"
-84.0099,39.8814,"Medway Post Office"
-83.8077,39.9264,"Springfield Post Office"
-83.7027,41.7187,"Sylvania Post Office"
-83.5435,41.6414,"Toledo Post Office"
-83.6544,41.5637,"Maumee Post Office"
-84.2519,39.672,"West Carrollton Post Office"
-84.1947,39.7587,"Dayton Post Office"
-84.3113,39.7976,"Trotwood Post Office"
-80.9001,40.0809,"Saint Clairsville Post Office"
-80.8526,40.8989,"Salem Post Office"
-80.5401,40.8362,"East Palestine Post Office"
-80.6445,40.6076,"Wellsville Post Office"
-82.3985,40.0584,"Newark Post Office"
-84.4002,39.5187,"Middletown Post Office"
-84.5641,39.3409,"Fairfield Post Office"
-81.3384,41.5256,"Chesterland Post Office"
-84.3042,39.5603,"Franklin Post Office"
-84.2089,39.4328,"Lebanon Post Office"
-81.2454,41.7248,"Painesville Post Office"
-81.2776,41.7562,"Fairport Harbor Post Office"
-81.3404,41.6684,"Mentor Post Office"
-80.9479,41.8037,"Geneva Post Office"
-81.3929,41.4298,"Chagrin Falls Post Office"
-81.8512,41.367,"Berea Post Office"
-81.5221,40.7937,"Massillon Post Office"
-81.1009,40.9212,"Alliance Post Office"
-81.4054,40.8909,"North Canton Post Office"
-81.3773,40.7978,"Canton Post Office"
-81.2573,40.8378,"Louisville Post Office"
-84.6372,39.7437,"Eaton Post Office"
-81.2426,41.1592,"Ravenna Post Office"
-81.3587,41.1523,"Kent Post Office"
-81.6093,41.0123,"Barberton Post Office"
-81.4409,41.1717,"Stowe Post Office"
-81.439,41.1373,"Munroe Falls Post Office"
-81.4846,41.1356,"Cuyahoga Falls Post Office"
-81.4362,41.0437,"Ellet Post Office"
-81.4362,41.0209,"Lakemore Post Office"
-82.2338,39.4612,"Nelsonville Post Office"
-82.0943,39.3323,"Athens Post Office"
-81.8643,41.1423,"Medina Post Office"
-81.7271,41.0251,"Wadsworth Post Office"
-82.2179,41.2898,"Oberlin Post Office"
-82.1088,41.4875,"Sheffield Lake Post Office"
-82.1729,41.4634,"Lorain Post Office"
-82.2243,41.3987,"Amherst Post Office"
-82.1035,41.3681,"Elyria Post Office"
-84.3791,39.2323,"Blue Ash Post Office (historical)"
-84.4619,39.1603,"Norwood Post Office"
-84.3613,39.1892,"Madeira Post Office (historical)"
-84.5108,39.102,"Cincinnati Post Office"
-83.0941,39.8834,"Grove City Post Office"
-83.0052,39.964,"Columbus Post Office"
-84.1288,40.0542,"Casstown Post Office"
-83.5552,40.0714,"Mechanicsburg Post Office"
-83.2694,39.9451,"West Jefferson Post Office"
-81.1957,40.514,"Leavittsville Post Office (historical)"
-80.9512,40.6653,"Norristown Post Office (historical)"
-81.1526,40.5528,"Tabor Post Office (historical)"
-84.373,39.3851,"Bethany Post Office (historical)"
-84.4313,39.4406,"Le Sourdsville Post Office (historical)"
-84.3691,39.3187,"Pisgah Post Office (historical)"
-84.4627,39.3328,"Port Union Post Office (historical)"
-84.7736,39.3237,"Alert Post Office (historical)"
-84.815,39.5231,"Contreras Post Office (historical)"
-81.8417,40.9606,"Amwell Post Office (historical)"
-81.2429,40.5528,"Atwood Post Office (historical)"
-81.0234,40.6215,"Eckley Post Office (historical)"
-81.1123,40.6417,"Hibbetts Post Office (historical)"
-81.0012,40.464,"Kilgore Post Office (historical)"
-81.3012,40.6056,"Lindentree Post Office (historical)"
-81.1873,40.4431,"New Hagerstown Post Office (historical)"
-81.1457,40.6209,"New Harrisburg Post Office (historical)"
-81.1484,40.6987,"Oneida Post Office (historical)"
-81.0484,40.6751,"Pattersonville Post Office (historical)"
-80.8679,40.5667,"Pinehill Post Office (historical)"
-80.9609,40.5778,"Scroggsfield Post Office (historical)"
-81.0151,40.6487,"Specht Post Office (historical)"
-80.9331,40.5737,"Wattsville Post Office (historical)"
-83.9347,41.6278,"Ai Post Office (historical)"
-84.1486,41.7056,"Denson Post Office (historical)"
-84.3083,41.5792,"Elmira Post Office (historical)"
-84.1527,41.6695,"Oakshade Post Office (historical)"
-84.1347,41.6028,"Ottokee Post Office (historical)"
-84.2694,41.7028,"Ritters Post Office (historical)"
-84.2069,41.6028,"Tedrow Post Office (historical)"
-83.9763,41.7112,"Whiteville Post Office (historical)"
-84.0652,41.6264,"Winameg Post Office (historical)"
-82.2624,39.189,"Mount Blanco Post Office (historical)"
-82.2199,39.1626,"Carpenter Post Office (historical)"
-82.2443,39.1667,"Valleyford Post Office (historical)"
-81.9776,39.1654,"Flora Post Office (historical)"
-81.7471,39.1209,"Reedsville Post Office"
-82.1735,39.1501,"Welsh Post Office (historical)"
-81.9929,39.0223,"Minersville Post Office (historical)"
-81.8651,39.0431,"Bashan Post Office (historical)"
-81.8637,39.0987,"Keno Post Office (historical)"
-81.8137,39.1084,"Fayal Post Office (historical)"
-81.924,38.8929,"Letart Falls Post Office (historical)"
-84.0877,40.6025,"Uniopolis Post Office"
-83.511,40.8014,"Forest Post Office"
-81.5668,41.4128,"Maple Heights Post Office"
